id,Age,Annual_Income_USD,Daily_Commute_km,Number_of_Cars_Owned,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Environmental_Concern_Level,Gender,City_Type,Current_Car_Type,Home_Charging_Possible,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
0,64,174701,16.97,3,8,5,6,Male,Rural,SUV,Yes,No,Medium,1
1,54,74550,75.09,3,0,3,9,Female,Urban,Truck,Yes,Yes,High,1
2,48,148767,8.49,2,6,2,9,Female,Suburban,Hatchback,Yes,No,High,1
3,37,54063,1.39,2,9,4,3,Female,Suburban,Sedan,Yes,Yes,High,0
4,39,81097,26.51,0,9,1,6,Female,Urban,Truck,No,No,Medium,0
5,26,129241,79.27,0,5,8,5,Female,Urban,Truck,No,No,Low,1
6,28,114840,21.91,3,3,8,3,Male,Rural,SUV,Yes,Yes,Medium,0
7,25,55241,66.62,2,5,3,6,Male,Suburban,SUV,Yes,No,Medium,0
8,33,127202,14.68,1,6,7,9,Male,Rural,Sedan,No,No,High,0
9,62,114541,47.32,3,7,6,10,Female,Suburban,Sedan,Yes,Yes,High,1
10,54,167672,76.71,0,11,7,2,Female,Rural,Hatchback,Yes,No,High,0
11,66,118347,57.6,0,10,7,3,Male,Urban,Hatchback,No,No,High,0
12,48,162078,78.46,2,8,8,3,Male,Rural,Sedan,No,Yes,Low,0
13,52,174175,46.39,1,3,9,7,Female,Urban,Truck,No,No,Medium,0
14,69,38574,78.68,0,7,7,8,Male,Urban,Hatchback,No,Yes,High,0
15,58,36201,67.13,1,3,3,8,Male,Suburban,SUV,No,No,Medium,1
16,54,102893,62.48,0,5,10,8,Female,Suburban,Hatchback,Yes,No,Low,1
17,50,102495,71.19,2,0,0,2,Female,Urban,SUV,Yes,No,Medium,0
18,50,111026,50.89,1,3,7,4,Male,Rural,Sedan,Yes,No,Medium,1
19,68,140335,29.15,2,3,2,9,Female,Rural,SUV,No,Yes,High,0
20,37,73877,42.73,0,7,1,1,Male,Urban,Hatchback,No,No,Medium,0
21,62,52470,18.89,0,0,6,6,Female,Suburban,SUV,Yes,Yes,Medium,1
22,55,130417,62.43,1,3,6,9,Female,Urban,SUV,No,Yes,High,1
23,25,85150,14.44,1,0,10,10,Female,Urban,Sedan,No,Yes,High,1
24,43,169106,46.6,3,2,7,2,Female,Suburban,Truck,Yes,Yes,Low,0
25,64,34748,43.34,3,6,7,9,Male,Rural,Hatchback,No,Yes,High,0
26,50,134924,54.08,0,3,6,2,Female,Rural,Truck,Yes,No,Low,0
27,26,137511,61.08,0,2,7,10,Female,Urban,SUV,Yes,Yes,High,0
28,60,67009,9.68,3,8,7,2,Female,Suburban,Hatchback,Yes,Yes,Medium,0
29,58,38604,50.37,1,0,0,2,Male,Suburban,Sedan,No,Yes,Medium,1
30,63,74327,33.7,3,1,7,3,Female,Urban,Truck,Yes,No,Medium,0
31,33,86239,49.52,1,11,5,9,Male,Urban,Hatchback,No,No,Medium,0
32,29,176809,55.82,3,11,10,6,Male,Rural,Truck,No,Yes,Low,1
33,64,160396,47.25,1,1,3,9,Male,Suburban,Truck,No,Yes,Medium,1
34,26,60818,58.9,0,9,6,1,Male,Urban,SUV,No,Yes,Low,0
35,49,98206,42.08,3,1,4,10,Male,Urban,Truck,Yes,Yes,Low,1
36,28,117982,37.57,0,5,7,8,Female,Suburban,SUV,Yes,No,Medium,0
37,38,166456,23.65,1,11,11,7,Female,Urban,Sedan,Yes,Yes,Medium,0
38,47,45931,19.1,0,5,3,4,Male,Suburban,SUV,Yes,Yes,Medium,0
39,44,143717,55.93,3,8,1,4,Male,Rural,Truck,Yes,No,Medium,0
40,43,168412,55.96,1,10,9,5,Female,Suburban,Truck,No,Yes,Medium,0
41,26,166875,16.44,2,8,1,6,Male,Suburban,SUV,No,Yes,Low,1
42,25,67941,77.78,0,0,5,8,Female,Suburban,Truck,No,Yes,High,1
43,30,44747,54.02,1,6,3,2,Male,Urban,Truck,Yes,No,Medium,0
44,25,117040,42.97,0,1,3,9,Male,Urban,Truck,Yes,Yes,Low,0
45,55,36402,67.45,1,0,7,10,Female,Rural,Sedan,Yes,No,High,1
46,49,45149,39.44,0,9,4,7,Female,Urban,SUV,Yes,No,High,0
47,54,35900,38.6,3,10,3,8,Male,Urban,Truck,No,No,High,0
48,36,57688,21.4,3,10,4,9,Female,Suburban,Truck,No,Yes,Medium,0
49,53,159672,13.33,2,5,8,4,Female,Suburban,Sedan,No,Yes,High,0
50,60,129262,57.22,2,5,5,4,Female,Suburban,Sedan,Yes,No,Medium,0
51,42,123280,67.68,0,4,8,10,Male,Urban,Hatchback,Yes,No,Medium,0
52,46,177736,54.55,2,10,11,2,Female,Suburban,SUV,Yes,Yes,Low,0
53,70,101968,30.14,0,1,5,8,Male,Suburban,Hatchback,Yes,No,High,1
54,62,31199,46.48,1,10,7,9,Male,Rural,Truck,No,No,Low,0
55,70,50349,45.51,0,1,10,4,Male,Suburban,Truck,Yes,No,Low,1
56,42,65345,74.99,0,3,4,4,Male,Rural,SUV,Yes,Yes,Low,0
57,56,129428,31.63,3,6,3,10,Male,Rural,Sedan,Yes,No,Medium,0
58,68,80342,14.02,1,0,5,2,Male,Urban,Truck,Yes,No,Low,0
59,54,74292,70.28,1,6,7,4,Female,Rural,Hatchback,No,Yes,Low,1
60,63,42388,71.68,1,0,7,8,Male,Urban,SUV,Yes,Yes,Low,0
61,56,135186,4.81,3,6,6,4,Female,Suburban,Hatchback,Yes,No,High,0
62,57,28795,16.66,1,2,2,8,Male,Suburban,Sedan,Yes,No,Medium,1
63,42,96355,51.27,3,7,0,1,Male,Urban,Sedan,Yes,No,High,0
64,65,140385,63.32,1,6,5,4,Male,Rural,SUV,No,No,Low,0
65,31,103657,48.93,0,10,4,8,Female,Urban,Sedan,Yes,No,Low,0
66,51,131489,16.14,0,6,0,10,Male,Suburban,Hatchback,No,Yes,Medium,1
67,58,147398,10.29,0,6,6,2,Female,Urban,SUV,Yes,No,High,0
68,63,59857,40.97,0,4,1,6,Female,Urban,Truck,Yes,No,High,1
69,49,39375,65.43,0,4,11,1,Male,Urban,Truck,Yes,No,Medium,0
70,42,33734,18.15,1,7,9,2,Female,Urban,SUV,No,Yes,Medium,0
71,39,114707,6.94,3,3,9,7,Male,Urban,SUV,Yes,Yes,High,0
